Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR3585830_1	ERR3585830_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204177.0	61.3 Mbp	0.0	35-301	51.0	4.107220695768867	300.34905498660476	301	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585830_2	ERR3585830_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	204177.0	61.1 Mbp	0.0	35-301	51.0	5.634816850085954	300.39823780347444	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585831_1	ERR3585831_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69391.0	20.8 Mbp	0.0	35-301	52.0	4.428528195299102	300.40692597022667	301	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585831_2	ERR3585831_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	69391.0	20.8 Mbp	0.0	35-301	52.0	6.258736723782624	300.74039861077085	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585832_1	ERR3585832_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	394836.0	117.7 Mbp	0.0	35-301	49.0	3.0777335400014185	296.2925315827331	294	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585832_2	ERR3585832_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	394836.0	118.4 Mbp	0.0	35-301	49.0	4.421582631776231	300.77039327720877	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585833_1	ERR3585833_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39668.0	11.9 Mbp	0.0	35-301	51.0	6.998084098013512	299.97007663607945	301	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
ERR3585833_2	ERR3585833_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39668.0	11.8 Mbp	0.0	35-301	51.0	8.94675809216497	300.2235807199758	301	pass	fail		pass	fail	fail	pass	warn	fail	fail	pass
ERR3585834_1	ERR3585834_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48641.0	14.6 Mbp	0.0	35-301	51.0	5.602269690179067	299.91449600131574	301	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585834_2	ERR3585834_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48641.0	14.6 Mbp	0.0	35-301	52.0	6.918032112826627	300.938385312802	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585835_1	ERR3585835_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131293.0	39.2 Mbp	0.0	35-301	50.0	4.421408605180779	296.9391056644299	294	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585835_2	ERR3585835_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	131293.0	39.3 Mbp	0.0	35-301	49.0	6.79548795442255	300.770437113936	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585836_1	ERR3585836_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	357914.0	105.6 Mbp	0.0	35-301	53.0	4.557240007376073	294.8064814452634	301	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass
ERR3585836_2	ERR3585836_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	357914.0	105.4 Mbp	0.0	35-301	53.0	6.241443475248245	295.42508814966726	301	pass	fail		pass	fail	fail	pass	warn	fail	fail	pass
ERR3585837_1	ERR3585837_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	189005.0	56.4 Mbp	0.0	35-301	50.0	4.58929657945557	297.50862675590594	301	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR3585837_2	ERR3585837_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	189005.0	56.6 Mbp	0.0	35-301	50.0	6.013597523875029	300.67310388614055	301	pass	fail	warn	pass	fail	fail	pass	warn	fail	fail	pass
