Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR3585830_1	95.89277930423113	51.0	300.34905498660476	301	36.36363636363637	204177.0
ERR3585830_2	94.36518314991405	51.0	300.39823780347444	301	45.45454545454545	204177.0
ERR3585831_1	95.57147180470089	52.0	300.40692597022667	301	45.45454545454545	69391.0
ERR3585831_2	93.74126327621738	52.0	300.74039861077085	301	45.45454545454545	69391.0
ERR3585832_1	96.92226645999858	49.0	296.2925315827331	294	36.36363636363637	394836.0
ERR3585832_2	95.57841736822377	49.0	300.77039327720877	301	45.45454545454545	394836.0
ERR3585833_1	93.0019159019865	51.0	299.97007663607945	301	40.0	39668.0
ERR3585833_2	91.05324190783503	51.0	300.2235807199758	301	50.0	39668.0
ERR3585834_1	94.39773030982093	51.0	299.91449600131574	301	45.45454545454545	48641.0
ERR3585834_2	93.08196788717338	52.0	300.938385312802	301	45.45454545454545	48641.0
ERR3585835_1	95.57859139481923	50.0	296.9391056644299	294	36.36363636363637	131293.0
ERR3585835_2	93.20451204557745	49.0	300.770437113936	301	45.45454545454545	131293.0
ERR3585836_1	95.44275999262393	53.0	294.8064814452634	301	40.0	357914.0
ERR3585836_2	93.75855652475175	53.0	295.42508814966726	301	50.0	357914.0
ERR3585837_1	95.41070342054444	50.0	297.50862675590594	301	36.36363636363637	189005.0
ERR3585837_2	93.98640247612497	50.0	300.67310388614055	301	45.45454545454545	189005.0
ERR3585838_1	95.86737647203955	50.0	296.68894772302406	294	36.36363636363637	210762.0
ERR3585838_2	93.85278181076285	49.0	300.51608923809795	301	45.45454545454545	210762.0
ERR3585839_1	91.54068338249755	53.0	297.5287610619469	301	36.36363636363637	65088.0
ERR3585839_2	89.0916912487709	53.0	298.16889441986234	301	45.45454545454545	65088.0
ERR3585840_1	95.6981586851248	52.0	299.371523800258	301	36.36363636363637	318631.0
ERR3585840_2	94.22121513600372	51.0	299.6717268564578	301	45.45454545454545	318631.0
ERR3585841_1	94.49926362297496	49.0	296.399381443299	294	36.36363636363637	67900.0
ERR3585841_2	92.09720176730487	49.0	300.69664212076583	301	45.45454545454545	67900.0
ERR3585842_1	94.96473734534396	52.0	299.8749092373058	301	36.36363636363637	139099.0
ERR3585842_2	93.20340189361534	51.0	300.0083753298011	301	45.45454545454545	139099.0
ERR3585843_1	96.79730217054414	51.0	299.3924913012544	301	36.36363636363637	307803.0
ERR3585843_2	95.15891657976043	51.0	300.71114966390843	301	45.45454545454545	307803.0
ERR3585844_1	95.53345638757206	50.0	296.43129426496773	294	36.36363636363637	122981.0
ERR3585844_2	93.90312324668038	49.0	300.54702758962765	301	45.45454545454545	122981.0
ERR3585845_1	95.9366994195285	51.0	300.3131534937158	301	36.36363636363637	215859.0
ERR3585845_2	93.98774199824885	51.0	300.409962058566	301	45.45454545454545	215859.0
ERR3585846_1	91.4857118948998	50.0	223.16530689092505	227	36.36363636363637	23901.0
ERR3585846_2	92.13003640015062	52.0	239.66863311158528	297	45.45454545454545	23901.0
ERR3585847_1	78.31050228310502	44.0	193.84779299847793	274	54.54545454545454	3942.0
ERR3585847_2	73.38914256722475	45.0	198.64561136478946	284	63.63636363636363	3942.0
ERR3585848_1	84.31160984031075	45.0	203.63530427276652	301	63.63636363636363	4634.0
ERR3585848_2	69.52956409149763	45.0	215.1230038843332	301	63.63636363636363	4634.0
ERR3585849_1	87.30086481565772	48.0	119.88666363222576	34	72.72727272727273	2197.0
ERR3585849_2	83.9781520254893	48.0	124.02002730996814	34	72.72727272727273	2197.0
ERR3585850_1	73.558196434813	48.0	221.03372946522194	301	45.45454545454545	5722.0
ERR3585850_2	63.649073750436905	49.0	220.5512058720727	301	63.63636363636363	5722.0
ERR3585851_1	78.43499691928528	49.0	189.0536044362292	294	72.72727272727273	1623.0
ERR3585851_2	73.44423906346273	49.0	191.00800985828712	294	72.72727272727273	1623.0
ERR3585852_1	68.90832877710953	47.0	221.99908875523965	301	45.45454545454545	5487.0
ERR3585852_2	62.18334244578094	48.0	224.47913249498816	301	63.63636363636363	5487.0
ERR3585853_1	92.02259089304624	48.0	107.73208612777974	34	70.0	5666.0
ERR3585853_2	90.20472996823156	49.0	107.49682315566537	34	70.0	5666.0
ERR3585854_1	87.93288590604027	41.0	250.82171140939596	264	36.36363636363637	29800.0
ERR3585854_2	80.6510067114094	42.0	254.26661073825503	294	45.45454545454545	29800.0
ERR3585855_1	84.5927018061187	43.0	162.2495392554368	114	63.63636363636363	2713.0
ERR3585855_2	79.65352008846295	43.0	170.9115370438629	234	63.63636363636363	2713.0
ERR3585856_1	90.26420864837311	47.0	116.2535893297086	34	72.72727272727273	11771.0
ERR3585856_2	86.56019029819046	47.0	116.8661116302778	34	63.63636363636363	11771.0
ERR3585857_1	96.24170695115853	50.0	300.9221503583931	301	36.36363636363637	299950.0
ERR3585857_2	92.60676779463243	49.0	300.8979229871645	301	45.45454545454545	299950.0
ERR3585858_1	95.42270521171258	49.0	300.9656618188902	301	36.36363636363637	118061.0
ERR3585858_2	92.33785924225612	48.0	300.9062095018677	301	45.45454545454545	118061.0
ERR3585859_1	95.44311460904392	50.0	299.9936664648628	300	45.45454545454545	85892.0
ERR3585859_2	92.96442043496484	49.0	300.95724863782425	301	45.45454545454545	85892.0
ERR3585860_1	96.1477302667266	49.0	300.9796816639028	301	36.36363636363637	322615.0
ERR3585860_2	92.78024890349178	49.0	300.93596391984255	301	45.45454545454545	322615.0
ERR6094254_1	95.98231501161362	48.0	300.0	300	45.45454545454545	111507.0
ERR6094254_2	93.04976369196552	48.0	300.0	300	45.45454545454545	111507.0
ERR6094255_1	95.56558269799284	48.0	300.0	300	45.45454545454545	102832.0
ERR6094255_2	92.25727400031118	48.0	300.0	300	45.45454545454545	102832.0
ERR6094256_1	95.52690891660633	48.0	300.0	300	45.45454545454545	98053.0
ERR6094256_2	91.8503258441863	48.0	300.0	300	45.45454545454545	98053.0
ERR6094257_1	92.41851676901275	48.0	300.0	300	45.45454545454545	63510.0
ERR6094257_2	85.13619902377579	48.0	300.0	300	45.45454545454545	63510.0
ERR6094258_1	94.68081943329469	48.0	300.0	300	45.45454545454545	100899.0
ERR6094258_2	91.48950931129149	48.0	300.0	300	45.45454545454545	100899.0
ERR6094259_1	95.14441826454339	48.0	300.0	300	45.45454545454545	98464.0
ERR6094259_2	90.7702307442314	48.0	300.0	300	45.45454545454545	98464.0
ERR6094260_1	94.96834098017634	48.0	300.0	300	45.45454545454545	91759.0
ERR6094260_2	91.20740199871402	48.0	300.0	300	45.45454545454545	91759.0
ERR6094261_1	95.39164962098424	48.0	300.0	300	45.45454545454545	99732.0
ERR6094261_2	91.47214534953676	48.0	300.0	300	45.45454545454545	99732.0
ERR6094262_1	94.67839643267627	48.0	300.0	300	45.45454545454545	115717.0
ERR6094262_2	92.18092415116189	48.0	300.0	300	45.45454545454545	115717.0
ERR6094263_1	94.78229292141997	50.0	300.0	300	45.45454545454545	112904.0
ERR6094263_2	90.80900588110254	50.0	300.0	300	45.45454545454545	112904.0
