	ERR3585830_R1_filtered.fastq.gz	ERR3585831_R1_filtered.fastq.gz	ERR3585832_R1_filtered.fastq.gz	ERR3585833_R1_filtered.fastq.gz	ERR3585834_R1_filtered.fastq.gz	ERR3585835_R1_filtered.fastq.gz	ERR3585836_R1_filtered.fastq.gz	ERR3585837_R1_filtered.fastq.gz	ERR3585838_R1_filtered.fastq.gz	ERR3585839_R1_filtered.fastq.gz	ERR3585840_R1_filtered.fastq.gz	ERR3585841_R1_filtered.fastq.gz	ERR3585842_R1_filtered.fastq.gz	ERR3585843_R1_filtered.fastq.gz	ERR3585844_R1_filtered.fastq.gz	ERR3585845_R1_filtered.fastq.gz	ERR3585846_R1_filtered.fastq.gz	ERR3585847_R1_filtered.fastq.gz	ERR3585848_R1_filtered.fastq.gz	ERR3585849_R1_filtered.fastq.gz	ERR3585850_R1_filtered.fastq.gz	ERR3585851_R1_filtered.fastq.gz	ERR3585852_R1_filtered.fastq.gz	ERR3585853_R1_filtered.fastq.gz	ERR3585854_R1_filtered.fastq.gz	ERR3585855_R1_filtered.fastq.gz	ERR3585856_R1_filtered.fastq.gz	ERR3585857_R1_filtered.fastq.gz	ERR3585858_R1_filtered.fastq.gz	ERR3585859_R1_filtered.fastq.gz	ERR3585860_R1_filtered.fastq.gz	ERR6094254_R1_filtered.fastq.gz	ERR6094255_R1_filtered.fastq.gz	ERR6094256_R1_filtered.fastq.gz	ERR6094257_R1_filtered.fastq.gz	ERR6094258_R1_filtered.fastq.gz	ERR6094259_R1_filtered.fastq.gz	ERR6094260_R1_filtered.fastq.gz	ERR6094261_R1_filtered.fastq.gz	ERR6094262_R1_filtered.fastq.gz	ERR6094263_R1_filtered.fastq.gz
ASV_1	15	139	28913	0	46	4813	0	8915	15322	76	50	2821	0	3350	10754	12	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0
ASV_2	2991	4670	3884	2823	4299	2458	166	503	168	0	1837	324	759	42515	4386	1373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	0	6	17
ASV_3	30	239	25558	0	72	5349	0	6626	5893	33	77	5057	13	3679	8712	12	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
ASV_4	17	152	18678	0	88	8824	0	6510	12064	39	51	3201	0	2209	5485	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0
ASV_5	1176	952	1289	3292	1943	2182	214	2273	355	0	7513	625	970	27897	3773	432	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ASV_6	2280	4201	3496	3484	3499	2693	232	5599	1518	8	826	949	224	13893	1376	626	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	12	0	0
ASV_7	577	1280	893	676	4264	2068	4300	3099	1137	143	5647	222	324	9214	201	994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	686	0	0	321	79	71	11218	60	0	2422	10022	34	2671	207	44	4209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	29
ASV_9	15006	149	269	0	0	0	0	16	7	0	4532	17	0	0	0	6774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	661	13738	3651	0	72	275	0	153	206	0	0	6	279	3940	2621	373	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_11	5	74	9990	0	28	1434	0	1656	1776	0	251	1414	6	1883	1239	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	45	6082	0	37	2463	0	0	0	0	11	1058	0	2890	5949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_13	1420	2513	2010	2220	2909	1838	177	1904	346	0	589	587	32	1167	134	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	83	4311	0	0	49	0	3198	3118	11	18	825	0	3202	2320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	42	4020	0	0	210	0	3807	3242	0	19	1741	0	994	1186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	0	0	0	4283	10783	0	4	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	5	34	5624	0	21	2143	0	2482	3459	8	7	897	0	145	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_18	266	0	0	145	0	43	3867	0	0	1291	4840	0	1303	139	0	2294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	50	4137	0	23	3887	0	551	908	0	0	738	0	1597	2213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_20	0	11	1925	0	17	4262	0	1457	1752	0	115	2482	0	709	1051	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0
ASV_21	0	22	3732	0	18	1443	0	2958	4082	0	0	468	0	433	578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	27	5774	0	29	2185	0	511	948	14	12	737	0	1542	1651	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	0	14	2475	0	10	320	0	2161	3321	0	144	337	0	1737	1077	16	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_24	0	42	3412	0	11	652	0	2306	2362	12	20	879	0	754	946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	155	3	87	52	0	8	5841	19	65	1757	812	4	688	77	10	360	0	3	0	4	0	0	0	4	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_26	4	22	4435	0	6	616	0	795	1126	3	0	459	0	560	869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	577	13	30	0	0	0	3996	35	12	446	2287	16	0	0	0	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	230	4184	1070	0	68	163	0	56	79	0	0	0	113	1076	682	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	5	1974	0	7	688	0	1194	2008	0	0	256	0	174	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_30	0	14	1810	0	4	422	0	580	602	0	8	119	0	2312	455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	119	0	32	63	0	5	3529	9	48	869	668	5	387	58	0	321	0	5	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	12	1511	0	10	477	0	1408	1554	0	0	195	0	291	512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	279	221	352	18	13	0	16	3416	818	0	339	140	0	16	0	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_34	0	12	1086	0	12	877	0	1016	1570	0	0	255	0	325	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	0	12	1039	0	0	768	0	1260	2183	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_36	0	0	508	0	0	923	0	1166	781	0	0	262	0	964	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_37	0	0	1855	0	10	494	0	712	877	0	6	0	0	679	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_38	0	0	3612	0	0	0	0	358	701	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	3021	75	14	81	92	490	36	318	586
ASV_40	0	0	2406	0	14	1075	3	213	332	4	0	106	0	282	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_41	116	197	260	0	0	0	0	168	48	0	0	0	60	3437	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_42	0	0	1039	0	0	0	0	802	1487	0	6	71	0	513	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	0	14	2146	0	0	144	0	179	267	4	0	303	0	778	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	1327	1153	943	61	66	89	0	38	0	0	53	16	23	457	29	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	0	30	1180	0	0	565	0	748	836	0	0	0	0	495	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
